Andreas;Lustenberger;Baar;KR;1;AL_7009;"Das Klima hat keine Wahl, wir schon: Für ein ökologisches und soziales Baar mit bezahlbarem Wohnraum. 
";"Mitglied Geschäftsleitung Hilfswerk;Geograph MSc;Kaufmann";;"https://www.facebook.com/andreas.lustenberger; https://twitter.com/anlustenberger; https://www.linkedin.com/in/andreas-lustenberger-38a85a93";"Parteipräsident;Kantonsrat;Mitglied Begleitgruppe Ortsplanung Baar";"Vorstand Drogenforum Zug;SAC Rossberg;TSV Concordia Baar;Team Advantage Zug;Verein Frohes Alter Baar;Silverscout;VPOD;Erlebnis Eggberge ";;1
Ivo;Egger;Baar;KR;2;STM_20220712_IvoEgger_Large_003;Ich will, dass der Kanton Zug seinen Beitrag dazu steuert, damit unsere Lebensgrundlagen global nicht noch mehr gefährdet werden.;Umweltingenieur, Projektleiter;Verheiratet, 2 Kinder;"https://www.linkedin.com/in/ivo-egger-b4ba14b8/; https://www.facebook.com/ivo.egger";"Mitglied Hochbaukommission;Gesundheitskommission;adHoc-Kommission Teilrevision Energiegesetz";"Verkehrsclub Schweiz;Pro Velo Zug";Meine bisherigen vier Jahre als Kantonsrat waren vielseitig und spannend. Ich selbst konnte beispielsweise bewirken, dass die kantonalen Hochbauten künftig klimaneutral betrieben werden. Damit der Umweltschutz weiterhin nicht vergessen geht, braucht die A;1
Malena;Raud;Baar;KR;3;MR_7045;Für die Nachhaltigkeit im ökologischen, ökonomischen wie auch sozialen Aspekt;Laborantin EFZ Fachrichtung Chemie;;https://www.instagram.com/malena.raud/;;"Reitverein Lorze;Paraplegikerverein";;0
Mariana;Glarner-Polyakova;Baar;KR;4;MG_7035;Für erfolgversprechende Betreuungsqualität durch gerechte Arbeitsbedingungen und faire Löhne und für bezahlbare Kinderbetreuungsplätze zum Vorteil der ganzen Familie. ;"Musikpädagogin;Krippenleiterin;Berufsbildnerin";Verheiratet mit 1 Sohn;;;Als Krippenleiterin übernehme ich im Rahmen der Öffentlichkeitsarbeit der Institution zugeteilte Aufgaben und vertrette den Beruf FaBe überzeugend nach aussen.  ;"Als Krippenleiterin bin ich gewöhnt ein Team zu führen. 
Als Berufsbildnerin begleite und bilde die jungen Leute in ihrer Berufslehre aus. 
Als Prüfungsexpertin habe ich die Aufgabe die Kandidaten fair zu prüfen und zu bewerten. Als Musikpädagogin bringe ";0
Florian;Erni;Baar;KR;5;FE_7173;Es muss sich lohnen, klimafreundlich zu handeln. ;Sekundarschullehrer, Unternehmer;Verheiratet mit zwei Kindern ;https://www.instagram.com/florian.erni/;Vorstand ALG Stadt Zug;"Vorstand Judo & Ju-Jitsu Club Kiai Cham;Schweizerischer Judo & Ju-Jitsu Verband;OK-Präsident JJJC Kiai Cham für das Villette Fäscht";;0
Evi;Binkert;Baar;KR;6;EB_6552-bearbeitet;Vereine und Treffpunkte für jung und alt bedeuten starke Eckpfeiler für den Zusammenhalt in Gemeinde und Kanton. ;"Primarlehrerin;Deutschlehrerin für Fremdsprachige";Verheiratet mit 2 Kindern;;;Chor;Die Familie ist mir wichtig. Ich pflege den Familienzusammenhalt. Mit Freude singe ich im Chor Zuger Singlüüt. Im Lesezirkel der Bibliothek Baar treffe ich mich mit Gleichgesinnten. Gerne bin ich zu Fuss und mit dem Velo unterwegs. Oder mache ab mit Freun;0
Simon;Uster;Baar;KR;7;SU_7124;Wirtschaft und Sicherheit sind grüne Themen, besonders heutzutage (noch nicht ganz sicher, ob dieser Slogan, werde mich noch melden. Was meinst du?);"Jus-Student; Kaufmann";;https://www.instagram.com/chnuspi.jr/;Stimm- und Urnenbüro Baar;"Vorstand SLRG Zug;Vorstand und Abteilungsleiter Pfadi Baar;Vorstand und Kassier ALG Baar;Infanterie Zugführer Inf Bat 20";sonstige Bemerkung: Formular Zuger Zeitung gemäss Anna Lustenberger noch nicht ausgefüllt.;0
Gurbetelli;Yener;Baar;KR;8;GY_7079;Es müssen dringend Taten für die Lohn- und Chancengleichheit im Kanton Zug erfolgen.;"Konstrukteurin EFZ;Studentin Wirtschaftsingenieurwesen";;"https://www.instagram.com/gurbetelli.y/; https://www.facebook.com/gurbetelli.yener";"Vorstand ALG Baar;Co-Präsidentin Junge Alternative Zug";;;0
Vivienne;Hanke;Baar;KR;9;VH_7188;Mir ist der Schutz unserer Natur, Aufrechterhaltung und Pflege der Artenvielfalt sehr wichtig. So vieles wird zerstört, da sehe ich es als unsere Pflicht, das zu schützen und fördern was bedroht ist. ;Laborantin Fachrichtung Biologie;;;"Mitglied Stimm- und Urnenbüro Baar;Vorstand Junge Grüne Schweiz;Vorstand ALG Baar ;Vorstand Junge Alternative";Mitglied SVIAL;;0
Anja ;Moczko;Baar;KR;10;AM_7218;Für ein zugängliches und bezahlbares Gesundheitssystem mit fairen Arbeitsbedingungen;"Assistenzärztin Pädiatrie ;Ärztin in der Weiterbildung Kinder- und Jugendmedizin ";;"https://www.instagram.com/an.ja.ma.ria/; https://www.facebook.com/anja.moczko";;;;0
Esther;Haas;Cham;KR;1;Esther Haas 08004;Für eine offene Gesellschat, die um ihre Werte weiss und sie auch lebt.;pensionierte Berufsfachschullehrperson;Vier erwachsene Kinder;https://www.instagram.com/estherhaas26/;"Kantonsratspräsidentin;Kantonsrätin";"KISS Cham;Turnverein Cham;Verein Langhuus;Fotoclub Baar-Inwil;FC Basel 1893";" „Der Wert eines Dialogs hängt vor allem von der Vielfalt der konkurrierenden Meinungen ab.“ (Karl Raimund Popper). Als Kantonsratspräsidentin darf ich seit eineinhalb Jahren erfahren, wie bereichernd vielfältige Gespräche und Begegnungen sind.

";1
Anne;Hänel;Cham;KR;3;DSC_8031;Ich setze mich ein für nachhaltige Gebäudesanierungen, erneuerbare Energien, eine fossilfreie Mobilität und für einen sorgsamen Umgang mit unseren Ressourcen.;Holzingenieurin;Verheiratet;"https://www.facebook.com/annemarie.hanel.94; https://twitter.com/HaenelAnne";Mitglied Planungskommission Cham;Public Eye;Gegen die Klimakrise helfen nur grundlegende Veränderungen – packen wir sie gemeinsam an!;0
Linus;Heim;Cham;KR;5;DSC_7988;Ich stehe für soziale Gerechtigkeit und Nachhaltigkeit.;Student;;https://www.instagram.com/linus.heim95/;;Unihockeyverein;;0
Frederic;Möri;Cham;KR;7;DSC_8058;Mir ist es wichtig, dass wir den Klimawandel und die soziale Ungleichheit nicht verschlimmern, sondern aktiv dagegen antreten, um die Welt für alle lebenswerter zu gestalten. ;Student;;https://www.instagram.com/fredericmoeri/;;;;0
Fabienne;Rigert;Cham;KR;9;DSC_8063;Die Klimakrise soll entlich als Krise behandelt werden.;Studentin;;https://www.instagram.com/gitzeine/;Sekretärin ALG Zug;Sea Shepherd;;0
Vera;Steinmann;Cham;KR;11;DSC_7620;Ich stehe ein für gleiche Chancen für alle und eine lebenswerte Zukunft auf unserem Planeten;Studentin Fine Arts;;https://www.instagram.com/steroidvera/;Vorstand Junge Alternative Zug;"Jubla Cham;Jugendförderungskomission Cham";;0
Hanni;Schriber-Neiger;Risch;KR;1;DSC_4308;Die Förderung von ÖV, Velo- und Fussverkehr bedeutet Lebensqualität für jedes Dorf.;"Typographin;Gemeindeweibelin Risch";Verheiratet mit 4 Kindern;;Kantonsrätin;"Pro Natura;Frauengemeinschaft Rotkreuz;Trachtengruppe Merenschwand;KISS Cham";Engagements in verschiedenen Fach-Kommissionen im Kanton Zug und Gemeinde Risch wie z. B. Raumplanung, Hochbau, Verkehr, Energie und Umwelt.;1
Livia;Engel;Risch;KR;3;LE5625;Ich möchte mich in der Politik für mehr Klimaschutz, Vielfalt und Gemeinschaft stark machen.;Studentin;;"https://www.instagram.com/liviajudith.engel/; https://www.facebook.com/profile.php?id=100009745566822";;;;0
Patricia;Gasser;Risch;KR;5;PG5681;Stärken der Familien, transparente Entscheide und ein starker Fokus auf Nachhaltigkeit.;Qualitätsingenieur;Verheiratet mit 2 Kindern;https://www.linkedin.com/in/patricia-gasser-doll-005b2ab6;;;;0
Konradin;Franzini;Risch;KR;6;DSC_4234;Für eine echte Zuger Willkommenskultur, die Menschen statt steuerflüchtige Konzerne meint.;"Kaufmann EFZ;Student Politikwissenschaft und Geschichte";;"https://www.facebook.com/konradin.franzini; https://twitter.com/konradin_f; https://www.instagram.com/koni_98/; https://www.linkedin.com/in/konradin-franzini-a79977129/";"Vize-Präsident Grüne Risch-Rotkreuz;Vorstand Alternative - die Grünen Kanton Zug;Vorstand Junge Alternative Zug;Co-Präsident Junge Alternative Zug";"Klimastreik Zug;vpod Zug";;0
Nerina;Itin;Risch;KR;7;NI5719;Ich setze mich für eine nachhaltige Entwicklung ein, die an der Schnittstelle zwischen Mensch und Umwelt ansetzt.;Umweltingenieurin;;https://www.facebook.com/nerinacitin;Vorstandsmitglied Grüne Risch-Rotkreuz;Förderungsverein Pfadiabteilung Chopfholz;;0
